日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/07/28,509.00,509.00,499.00,501.00,-1.00,"31,274"
111/07/29,508.00,510.00,504.00,509.00,+8.00,"24,762"
111/08/01,506.00,508.00,500.00,504.00,-5.00,"26,792"
111/08/02,494.00,496.00,488.50,492.00,-12.00,"63,879"
111/08/03,494.00,501.00,493.00,501.00,+9.00,"25,570"
111/08/04,499.00,503.00,495.00,500.00,-1.00,"27,173"
111/08/05,509.00,516.00,507.00,516.00,+16.00,"49,928"
111/08/08,510.00,515.00,509.00,512.00,-4.00,"18,131"
111/08/09,507.00,511.00,504.00,510.00,-2.00,"25,433"
111/08/10,500.00,503.00,499.50,500.00,-10.00,"35,188"
111/08/11,513.00,514.00,510.00,514.00,+14.00,"23,949"
111/08/12,515.00,518.00,514.00,517.00,+3.00,"21,701"
111/08/15,520.00,524.00,519.00,523.00,+6.00,"27,372"
111/08/16,526.00,526.00,523.00,525.00,+2.00,"20,628"
111/08/17,524.00,527.00,521.00,527.00,+2.00,"26,466"
111/08/18,520.00,521.00,519.00,520.00,-7.00,"24,209"
111/08/19,519.00,523.00,517.00,519.00,-1.00,"14,069"
111/08/22,511.00,514.00,510.00,510.00,-9.00,"32,130"
111/08/23,503.00,506.00,502.00,504.00,-6.00,"34,243"
111/08/24,504.00,508.00,503.00,503.00,-1.00,"20,031"
111/08/25,505.00,510.00,504.00,508.00,+5.00,"11,664"
111/08/26,513.00,515.00,511.00,512.00,+4.00,"14,862"
111/08/29,497.00,502.00,496.00,498.50,-13.50,"60,889"
111/08/30,497.50,500.00,496.00,496.00,-2.50,"43,669"
111/08/31,492.00,505.00,492.00,505.00,+9.00,"24,054"
111/09/01,495.00,495.50,490.00,490.50,-14.50,"93,631"
111/09/02,488.00,489.50,485.00,485.00,-5.50,"71,175"
111/09/05,485.00,488.00,484.00,486.00,+1.00,"27,611"
111/09/06,488.50,491.50,486.50,489.00,+3.00,"18,950"
111/09/07,477.00,478.00,472.00,472.50,-16.50,"101,077"
111/09/08,473.00,475.00,472.00,475.00,+2.50,"37,943"
111/09/12,485.00,491.00,485.00,486.50,+11.50,"26,764"
111/09/13,495.00,495.00,491.00,493.00,+6.50,"20,511"
111/09/14,478.50,482.50,476.00,480.00,-13.00,"47,333"
111/09/15,476.00,480.00,476.00,476.50,X0.00,"35,435"
111/09/16,470.50,472.00,469.00,472.00,-4.50,"51,619"
111/09/19,472.00,473.00,466.50,467.00,-5.00,"45,650"
111/09/20,470.50,478.00,470.00,476.50,+9.50,"20,621"
111/09/21,473.50,475.50,468.50,471.00,-5.50,"30,847"
111/09/22,462.00,468.00,459.00,464.50,-6.50,"53,974"
111/09/23,458.50,460.50,455.00,455.00,-9.50,"82,492"
111/09/26,443.00,454.00,443.00,446.50,-8.50,"75,861"
111/09/27,449.00,451.50,446.00,448.00,+1.50,"29,995"
111/09/28,447.00,449.00,438.00,438.00,-10.00,"78,780"
111/09/29,443.00,443.50,432.00,435.00,-3.00,"70,971"
111/09/30,424.50,427.50,422.00,422.00,-13.00,"87,052"
111/10/03,418.50,424.50,416.50,417.00,-5.00,"70,127"
111/10/04,429.50,432.00,427.00,429.00,+12.00,"31,696"
111/10/05,444.50,451.00,442.00,445.00,+16.00,"51,865"
111/10/06,450.50,451.00,447.00,451.00,+6.00,"24,907"
111/10/07,448.50,448.50,437.00,438.00,-13.00,"45,112"
111/10/11,408.00,412.50,401.00,401.50,-36.50,"210,614"
111/10/12,397.00,400.00,395.50,397.50,-4.00,"114,055"
111/10/13,400.50,403.00,395.00,395.00,-2.50,"66,846"
111/10/14,414.50,416.00,409.00,412.00,+17.00,"54,666"
